resolution	test	pct	n_selected	observed	null_mean	OE	empirical_p	null_sd	FDR_BH
500	CHH_loss_to_24_loss	1	769	559	520.781	1.073387854011571	0.001998001998001998	12.035110422546314	0.0036886190732344577
500	CHH_gain_to_24_gain	1	769	175	160.712	1.0889043755288965	0.0919080919080919	10.564215950966672	0.12254412254412254
500	24_loss_to_CHH_loss	1	769	138	118.605	1.1635259896294423	0.017982017982017984	8.79524481360987	0.0253863783275548
500	24_gain_to_CHH_gain	1	769	570	623.131	0.9147354248143649	1.0	9.084292122304486	1.0
500	CHH_loss_to_24_loss	5	3842	2698	2639.388	1.02220666305977	0.015984015984015984	25.99698635033106	0.023976023976023976
500	CHH_gain_to_24_gain	5	3842	915	794.829	1.1511910108966834	0.000999000999000999	20.524400356892524	0.001998001998001998
500	24_loss_to_CHH_loss	5	3842	495	485.634	1.0192861290601565	0.2787212787212787	14.81896236737396	0.33446553446553445
500	24_gain_to_CHH_gain	5	3842	3110	3059.668	1.0164501508006751	0.015984015984015984	23.058088633957748	0.023976023976023976
500	CHH_loss_to_24_loss	10	7683	5300	5202.053	1.0188285278908153	0.002997002997002997	34.55155569581493	0.00513771942343371
500	CHH_gain_to_24_gain	10	7683	1798	1645.805	1.0924745033585388	0.000999000999000999	27.421103039299712	0.001998001998001998
500	24_loss_to_CHH_loss	10	7686	1047	1027.789	1.0186915796919407	0.1838161838161838	19.866936708364832	0.23218886376781112
500	24_gain_to_CHH_gain	10	7930	6258	6032.805	1.0373284069350823	0.000999000999000999	33.17232850401639	0.001998001998001998
100	CHH_loss_to_24_loss	1	2512	1606	1477.98	1.0866182221680942	0.000999000999000999	22.940790742253846	0.001998001998001998
100	CHH_gain_to_24_gain	1	2512	727	668.803	1.0870166551286402	0.000999000999000999	20.045798188773254	0.001998001998001998
100	24_loss_to_CHH_loss	1	2512	566	561.321	1.0083356938365036	0.40559440559440557	18.561047154497277	0.4635364635364635
100	24_gain_to_CHH_gain	1	2514	1826	1896.345	0.9629049566402738	1.0	18.84168209008909	1.0
100	CHH_loss_to_24_loss	5	12557	7634	7372.219	1.0355091187605794	0.000999000999000999	48.14362728178931	0.001998001998001998
100	CHH_gain_to_24_gain	5	12557	3886	3509.336	1.1073319853100416	0.000999000999000999	43.32366609653486	0.001998001998001998
100	24_loss_to_CHH_loss	5	12557	2758	2791.711	0.9879246096748554	0.8301698301698301	34.792038815869425	0.9056398147307237
100	24_gain_to_CHH_gain	5	12557	8992	8705.014	1.0329678964330213	0.000999000999000999	48.394357293157825	0.001998001998001998
100	CHH_loss_to_24_loss	10	25113	15161	14721.963	1.029821906222696	0.000999000999000999	68.2696152865341	0.001998001998001998
100	CHH_gain_to_24_gain	10	25113	8441	7637.237	1.105242642070686	0.000999000999000999	58.344021594811714	0.001998001998001998
100	24_loss_to_CHH_loss	10	25113	6357	6079.965	1.0455652294051034	0.000999000999000999	48.3545441187996	0.001998001998001998
100	24_gain_to_CHH_gain	10	25113	17341	16675.085	1.0399347289683982	0.000999000999000999	68.41577664174757	0.001998001998001998
