context	direction	GO_ID	GO_term	observed_hits	observed_genes	null_mean_hits	null_sd	fold_vs_window_null	empirical_p	null_ge_observed	n_observed_genes	nperm	FDR_BH
CG	gain	GO:0003006	developmental process involved in reproduction	55	AT1G10390;AT1G19850;AT1G21650;AT1G22770;AT1G23420;AT1G29760;AT1G36160;AT1G43620;AT1G50030;AT1G53580;AT1G66340;AT1G66650;AT1G66730;AT1G73177;AT2G01280;AT2G02240;AT2G06990;AT2G25630;AT2G26890;AT2G28290;AT2G31215;AT2G33860;AT2G34260;AT2G34380;AT2G35510;AT2G42830;AT2G48130;AT3G02260;AT3G07050;AT3G07610;AT3G12280;AT3G22960;AT3G27670;AT3G46330;AT3G49240;AT3G49500;AT3G56640;AT3G59420;AT4G02650;AT4G13610;AT4G15180;AT4G19180;AT4G32880;AT4G38350;AT5G04920;AT5G13680;AT5G16750;AT5G17020;AT5G17690;AT5G23040;AT5G40360;AT5G49160;AT5G49680;AT5G52920;AT5G54310	158.65	10.987151587194873	0.34667507091080996	1.0	200	693	200	1.0
CG	gain	GO:0005975	carbohydrate metabolic process	50	AT1G06490;AT1G07110;AT1G11590;AT1G17150;AT1G22650;AT1G31740;AT1G32180;AT1G43620;AT1G51630;AT1G68560;AT1G71930;AT2G04062;AT2G15470;AT2G16730;AT2G18800;AT2G21590;AT2G25630;AT2G28760;AT2G31865;AT2G36710;AT2G44610;AT2G46740;AT3G01180;AT3G06500;AT3G10900;AT3G16910;AT3G22960;AT3G42153;AT3G59100;AT3G60140;AT4G02130;AT4G03930;AT4G09740;AT4G16120;AT4G18180;AT4G18780;AT4G26140;AT4G28850;AT4G33330;AT5G01930;AT5G05170;AT5G07420;AT5G14950;AT5G18990;AT5G20280;AT5G26120;AT5G42260;AT5G52920;AT5G61410;AT5G65685	96.515	8.782925196083571	0.5180541884681138	1.0	200	693	200	1.0
CG	gain	GO:0005976	polysaccharide metabolic process	24	AT1G06490;AT1G11590;AT1G32180;AT1G51630;AT1G68560;AT1G71930;AT2G18800;AT2G21590;AT2G36710;AT2G44610;AT3G01180;AT3G10900;AT3G59100;AT4G02130;AT4G03930;AT4G16120;AT4G18780;AT4G28850;AT4G33330;AT5G01930;AT5G05170;AT5G07420;AT5G18990;AT5G65685	48.095	6.4781150807931835	0.499012371348373	1.0	200	693	200	1.0
CG	gain	GO:0005982	starch metabolic process	3	AT2G21590;AT3G01180;AT5G65685	8.935	2.8179380759697334	0.3357582540570789	0.9900497512437811	198	693	200	1.0
CG	gain	GO:0005996	monosaccharide metabolic process	5	AT1G07110;AT2G28760;AT2G46740;AT5G14950;AT5G26120	13.195	3.5576642618437155	0.378931413414172	1.0	200	693	200	1.0
CG	gain	GO:0006066	alcohol metabolic process	3	AT1G31190;AT2G43900;AT4G39120	11.59	2.9583610327341736	0.25884383088869717	1.0	200	693	200	1.0
CG	gain	GO:0006091	generation of precursor metabolites and energy	13	AT1G22700;AT1G29910;AT1G55480;AT1G70760;AT2G07687;AT2G18660;AT2G21590;AT3G22960;AT3G45300;AT4G22890;AT5G52840;AT5G52920;AT5G61410	27.475	5.059582492656869	0.47315741583257503	1.0	200	693	200	1.0
CG	gain	GO:0006109	regulation of carbohydrate metabolic process	4	AT1G44120;AT3G27440;AT5G40360;AT5G40870	7.84	2.5699027218943518	0.5102040816326531	0.9800995024875622	196	693	200	1.0
CG	gain	GO:0006139	nucleobase-containing compound metabolic process	68	AT1G07350;AT1G07910;AT1G19350;AT1G19720;AT1G20260;AT1G21640;AT1G31360;AT1G31500;AT1G36160;AT1G36180;AT1G44835;AT1G44910;AT1G49980;AT1G50030;AT1G53490;AT1G54490;AT1G66730;AT1G72550;AT1G73177;AT1G75660;AT1G79950;AT2G01280;AT2G04270;AT2G06990;AT2G07690;AT2G19480;AT2G19920;AT2G28760;AT2G36490;AT2G39140;AT2G40030;AT2G43650;AT3G04750;AT3G11964;AT3G13880;AT3G16010;AT3G16680;AT3G18524;AT3G22960;AT3G23100;AT3G23780;AT3G27440;AT3G29230;AT3G48190;AT3G49500;AT3G49710;AT4G09730;AT4G23895;AT5G01630;AT5G08305;AT5G13680;AT5G16750;AT5G23880;AT5G25060;AT5G27450;AT5G39770;AT5G39920;AT5G40820;AT5G40870;AT5G47435;AT5G49010;AT5G52850;AT5G52920;AT5G53060;AT5G53660;AT5G61410;AT5G64200;AT5G66520	210.25	12.926619821128936	0.3234244946492271	1.0	200	693	200	1.0
CG	gain	GO:0006163	purine nucleotide metabolic process	7	AT1G20260;AT1G21640;AT3G22960;AT4G23895;AT5G47435;AT5G52920;AT5G61410	16.75	3.854542774441609	0.417910447761194	1.0	200	693	200	1.0
CG	gain	GO:0006164	purine nucleotide biosynthetic process	3	AT1G21640;AT4G23895;AT5G47435	6.865	2.3678629605616957	0.43699927166788055	0.9850746268656716	197	693	200	1.0
CG	gain	GO:0006220	pyrimidine nucleotide metabolic process	3	AT3G27440;AT4G23895;AT5G40870	2.535	1.452162181025246	1.1834319526627217	0.472636815920398	94	693	200	1.0
CG	gain	GO:0006221	pyrimidine nucleotide biosynthetic process	3	AT3G27440;AT4G23895;AT5G40870	2.535	1.452162181025246	1.1834319526627217	0.472636815920398	94	693	200	1.0
CG	gain	GO:0006241	CTP biosynthetic process	3	AT3G27440;AT4G23895;AT5G40870	1.39	1.130442391278742	2.1582733812949644	0.15422885572139303	30	693	200	1.0
CG	gain	GO:0006259	DNA metabolic process	15	AT1G31360;AT1G49980;AT1G53490;AT1G66730;AT1G79950;AT2G07690;AT2G19480;AT2G36490;AT3G18524;AT3G23100;AT3G48190;AT5G01630;AT5G39770;AT5G40820;AT5G49010	53.01	6.367095099022804	0.2829654782116582	1.0	200	693	200	1.0
CG	gain	GO:0006260	DNA replication	4	AT1G31360;AT1G79950;AT2G07690;AT5G49010	15.505	3.416134511403198	0.2579812963560142	1.0	200	693	200	1.0
CG	gain	GO:0006261	DNA-templated DNA replication	3	AT1G79950;AT2G07690;AT5G49010	7.015	2.268209646395148	0.4276550249465431	0.9850746268656716	197	693	200	1.0
CG	gain	GO:0006281	DNA repair	12	AT1G31360;AT1G49980;AT1G66730;AT1G79950;AT2G19480;AT2G36490;AT3G18524;AT3G23100;AT3G48190;AT5G01630;AT5G39770;AT5G40820	32.675	4.733854138014836	0.36725325172149964	1.0	200	693	200	1.0
CG	gain	GO:0006282	regulation of DNA repair	5	AT1G79950;AT2G31865;AT4G36280;AT5G13130;AT5G40820	3.935	1.6403581925908743	1.2706480304955527	0.3333333333333333	66	693	200	1.0
CG	gain	GO:0006302	double-strand break repair	7	AT1G66730;AT2G19480;AT3G23100;AT3G48190;AT5G01630;AT5G39770;AT5G40820	11.51	3.0049792012591365	0.6081668114682884	0.9651741293532339	193	693	200	1.0
CG	gain	GO:0006303	double-strand break repair via nonhomologous end joining	4	AT1G66730;AT3G23100;AT3G48190;AT5G40820	2.65	1.3481468762712763	1.509433962264151	0.2537313432835821	50	693	200	1.0
CG	gain	GO:0006310	DNA recombination	9	AT1G31360;AT1G53490;AT1G66730;AT1G79950;AT2G19480;AT3G23100;AT3G48190;AT5G01630;AT5G39770	20.77	4.116685560010623	0.43331728454501683	1.0	200	693	200	1.0
CG	gain	GO:0006325	chromatin organization	19	AT1G49950;AT1G54490;AT1G66040;AT2G16390;AT2G19480;AT2G23740;AT2G28290;AT3G07610;AT3G23780;AT3G42660;AT3G45880;AT3G49250;AT4G00416;AT4G15180;AT5G17690;AT5G20420;AT5G49160;AT5G51230;AT5G61070	48.305	6.167006972592161	0.3933340233930235	1.0	200	693	200	1.0
CG	gain	GO:0006338	chromatin remodeling	19	AT1G49950;AT1G54490;AT1G66040;AT2G16390;AT2G19480;AT2G23740;AT2G28290;AT3G07610;AT3G23780;AT3G42660;AT3G45880;AT3G49250;AT4G00416;AT4G15180;AT5G17690;AT5G20420;AT5G49160;AT5G51230;AT5G61070	43.72	5.7325038159603485	0.434583714547118	1.0	200	693	200	1.0
